titre,entreprise,localite,categorie,date_publication,date_expiration,description,email,lien
Commerciaux,N/A,Dakar,"Commercial, Vente, Business developpement | Distribution, Commerce, Import-Export",2026-04-14,2026-04-29,"Nous recrutons pour une société de la place évoluant dans les finances des Commerciaux Terrain.Dans le cadre du développement de notre réseau, nous recrutons des agents commerciaux terrains motivés pour développer notre communauté dans plusieurs quartiers de Dakar et sa banlieue.Mission :•	Présenter l’activité dans votre quartier•	Inscrire de nouveaux membres•	Suivre votre communauté de clients•	Objectifs recruter 5 clients minimum par jourNous recherchons des candidats dans les Zones suivantes :Parcelles, Guédiawaye, Pikine, Grand Yoff, Yoff, Ouakam, Keur Massar, Rufisque, Keur Mbaye Fall.Conditions•	Bonus pour les meilleurs commerciaux à la fin de chaque mois selon performance•	Salaire net 100.000 à 150.000 par mois selon vos performances.•	Prime par jour 5000fr en raison de 1000fr par recrue + salaire•	Un smartphone sera mis à votre disposition + la connexionProfil recherché :•	Habiter dans la zone où vous allez travailler•	Être dynamique motivé et avoir le contact facile•	Savoir lire et écrireSi vous êtes sérieux, motivé et que vous aimez le terrain, rejoignez une équipe en pleine croissance.",N/A,https://senjob.com/sn/jobseekers/commerciaux_e_161353.html
Assistant(e) Commercial(e) et Administratif,N/A,Dakar,"Commercial, Vente, Business developpement | Distribution, Commerce, Import-Export",2026-04-14,2026-04-29,"Nous recherchons un.e Assistant(e) Commercial(e) et Administratif pour rejoindre notre équipe à plein temps dans la région de Dakar, au Sénégal. Ce poste est basé sur site et implique une gestion quotidienne des tâches administratives et commerciales. Vos responsabilités incluront la gestion des relations clients, le suivi des dossiers commerciaux, la prospection de nouveaux clients et le soutien administratif pour assurer la bonne organisation de l’équipe.Qualifications•	Compétences en commerce et gestion commerciale : Expérience en gestion des ventes, suivi des objectifs et gestion de portefeuille clients.•	Compétences en prospection et relation client : Capacité à identifier et contacter de nouveaux clients, et à entretenir des relations durables.•	Compétences en communication et service client : Excellentes aptitudes relationnelles et capacité à gérer les demandes et besoins des clients avec professionnalisme.•	D’autres qualifications appréciées incluent la maîtrise des outils bureautiques (Word, Excel, logiciels CRM) et un bon niveau en langues, notamment le français et l’anglais.•	Commercial•	Réponse professionnelle aux emails•	Relance clients / prospects•	Démarchage à partir de cibles•	Suivi des devis, offres et opportunités•	Administratif & comptable•	Établissement de factures et proformas•	Suivi des paiements / encaissements•	Classement et suivi des dossiers clients",N/A,https://senjob.com/sn/jobseekers/assistant-e--commercial-e--et-administratif_e_161352.html
Human Resources & Administration Assistant,N/A,Dakar,"Ressources Humaines, Formation | Organisation non gouvernementale, Association",2026-04-14,2026-04-29,"Job AnnouncementKorea International Cooperation Agency (KOICA) is the primary Official Development Assistance (ODA) agency of the Government of the Republic of Korea. Since its founding in 1991, KOICA’s mission is to, through the implementation of bilateral grant aid programs, work towards sustainable socio-economic development in partner developing countries, leading to the eradication of poverty and the betterment of people’s lives.I. Basic Information•	No. of Vacancy: One(1)•	Job Location: Ouakam, Dakar•	Job Function: HR / Administration / Operations•	Position Title: Human Resources & Administration Assistant – * Depending on the candidate’s experience, the position may be offered at the Officer level•	Employment Type: Fixed-term Contract (CDD)•	Contract Duration: 1 year (renewable upon evaluation)•	Probation Period: 1 monthII. Recruitment Schedule•	Application Deadline: May 8, 2026, 17:00•	Written Examination: May 18, 2026•	Interview: May 21, 2026•	Expected Start Date: June 1, 2026III. Job Description1. HR Support•	Preparation of payroll statements and management of payroll-related data•	Handling of income tax and social insurance reporting, and management of related legal compliance•	Support for recruitment processes, including job postings, interviews, and onboarding•	Support for employee welfare and benefits programs•	Handling HR-related administrative tasks, including responses to labor issues and insurance matters•	Execution of year-end tax settlement for employees2. Administrative Support•	Perform general office administrative tasks and support internal operations•	Drafting, managing, classifying, and archiving official and administrative documents•	Support for meeting and event arrangements, including booking venues and vehicles•	Purchasing office supplies and necessary materials, and managing vendors3. Accounting Support•	Support overall office financial operations and coordinate with banks and related institutions•	Prepare official documents related to fund management and support financial transactions4. Asset & Facility Management Support•	Support office lease agreements and facility operation/management•	Manage office vehicles, fuel expenses, and related records•	Handle administrative tasks related to vehicle maintenance and inspections, and coordinate with relevant organizations•	Respond to and report on office and vehicle-related incidents5. Miscellaneous•	Perform other duties assigned by supervisors•	Provide backup support for other departments during employee absencesIV. Qualifications1.  Requirements•	Minimum of University Degree level (Administrative or HR Certificate /Diploma or related)•	At least 5 years of relevant work experience•	Experience with IPRES, CSS, and CPR calculations•	Excellent knowledge of written and spoken English, French2.  Preferred Qualifications•	Good communication and reporting skills.•	Experience working with the Government of Senegal, international NGOs, or other agencies•	Ability to handle multiple tasks simultaneously•	A proactive and problem-solving mindset is essential•	Computer literacy (Word, Excel, PowerPoint) in both English and French.V. Remarks•	1 year fixed-term contract renewable after evaluation•	Only shortlisted candidates will be contacted for further procedures•	Applications received after the deadline will not be considered•	KOICA Senegal Office reserves all rights for the recruitment•	Salary and benefits will be in accordance with KOICA Senegal Office policies•	Failure to issue supporting documents like diplomas, professional experiences and information on the CV, before signing the contract, will result in the cancellation of the application",N/A,https://senjob.com/sn/jobseekers/human-resources---administration-assistant_e_161351.html
Opérateur Turbine,N/A,Dakar,"Maintenance, Entretien, Contrôle | Industrie Automobile, Mecanique, Navale",2026-04-14,2026-04-29,"Description du Poste•	Est responsable des opérations et de la maintenance de la Centrale Electrique•	Conduit les opérations et s’assurent qu’elles sont menées dans les règlesActivités et Responsabilités clés•	Régler les commandes pour produire la puissance électrique spécifiée ou pour réguler le flux d’énergie entre les centrales et les sous-stations.•	Contrôler la production du générateur afin d’assurer la concordance de la phase, de la fréquence et de la tension de l’électricité fournie aux panneaux.•	Surveiller et inspecter les équipements et indicateurs de la centrale afin de détecter des signes de dysfonctionnement.•	Faire fonctionner ou contrôler les équipements de production d’énergie, notamment les chaudières, turbines, générateurs et réacteurs, à l’aide de tableaux de contrôle ou d’équipements semi-automatiques.•	Mettre en service les générateurs électriques de secours en cas d’urgence et surveiller la température, la production et la lubrification du système.•	Réguler le fonctionnement et les conditions des équipements, tels que les niveaux d’eau, en se basant sur les données provenant des instruments d’enregistrement et d’indication ou des ordinateurs.•	Démarrer ou arrêter les générateurs, les équipements de pompage auxiliaires, les turbines et autres équipements de la centrale, et connecter ou déconnecter les équipements des circuits.•	La séquence de démarrage de la turbine doit être suivie conformément à la procédure opérationnelle standard (SOP).•	Aider au dépannage et à l’inspection des automates programmables, des systèmes de contrôle de la centrale et des systèmes de contrôle distribués, y compris le remplacement des cartes de contrôle et les terminaisons de câblage.•	Maintenir la propreté de toutes les zones de la centrale et de la salle de contrôle.•	Effectuer toute autre tâche qui pourrait être assignée par l’ingénieur de la salle de contrôle, selon les besoins.Qualifications et Expérience Professionnelle•	Un diplôme de licence ou l’équivalent en génie mécanique ou dans une discipline connexe.•	Un minimum de cinq (5) ans d’expérience pertinente dans le domaine des centrales électriquesAptitudes et compétences•	Excellentes aptitudes analytiques et de résolution de problèmes•	Excellentes compétences en communication orale et écrite•	Maîtrise des outils Microsoft Office.•	Compétences HSE liées au poste•	Savoir utiliser les moyens de lutte contre l’incendie ;•	Connaître les pictogrammes de danger ;•	Savoir dispenser les gestes de premiers secours ;•	Connaître les risques SST liés à ses activités ainsi que les dispositions de maîtrise ;•	Connaître les aspects et impacts environnementaux liés à ses activités ainsi que les dispositions de maîtrise ;•	Connaître les bons gestes et postures liés à la manutention de charges ;•	Connaître les dispositions relatives à la gestion des déchets.",N/A,https://senjob.com/sn/jobseekers/opérateur-turbine_e_161350.html
Chef de section électrotechnique,N/A,Dakar,"Maintenance, Entretien, Contrôle | Industrie Automobile, Mecanique, Navale",2026-04-13,2026-04-28,"Le Chef de section électrotechnique est chargé de gérer et coordonner les activités de maintenance du parc qui lui est rattaché. Il dirige les équipes placées sous sa responsabilité, en accord avec son n+1. Il veille au respect des règles et procédures en matière d’hygiène, de sécurité et de conditions de travail en vigueur.Il a également pour obligation de participer activement à la démarche Qualité, Hygiène, Sécurité et Environnement (QHSE) du Groupe, et de se conformer aux règles et procédures en vigueur dans l’exécution des tâches, notamment une application stricte des dispositions du code de bonne conduite. Ledit code étant transmis à chaque salarié.Responsabilités•	Périmètre des responsabilités : parc des groupes électrogènes, silos et outillage vrac (trémies, sauterelles, convoyeurs, ensacheuses), équipements froid et climatisation, équipements de production d’énergie photovoltaïque, travaux d’ordre électrique sur l’ensemble du parc ;•	Organiser les opérations de maintenance préventive et curative du périmètre,•	Distribuer et superviser les tâches correspondantes ;•	Faire le reporting des opérations effectuées et en rendre compte à son n+1 ;•	Veiller au maintien et à l’amélioration de la compétence technique de ses équipes, par l’évaluation et la formation ;•	Proposer des solutions techniques d’amélioration des équipements et installations ;•	Participer à la définition technique des nouvelles installations (Investissements) ;•	Exécuter toute tâche connexe à la demande de son supérieur hiérarchique.Profil•	Être titulaire d’un diplôme de niveau Bac +2 en maintenance ou domaine équivalent ou justifier d’une expérience professionnelle significative dans le domaine ;•	Avoir une expérience en management d’équipes ;•	Être ordonné, rigoureux, réactif et capable de travailler sous pression.",N/A,https://senjob.com/sn/jobseekers/chef-de-section-électrotechnique_e_161349.html
Magasinier,N/A,Dakar,"Achat, Supply Chain, Logistique, Transport | Transport, Logistique, Services postaux",2026-04-13,2026-04-28,"Le magasinier s’occupe de la gestion des hangars et à ce titre organise la réception, le stockage et la livraison de la cargaison.Il a également pour obligation de participer activement à la démarche Qualité, Hygiène, Sécurité et Environnement (QHSE) du Groupe, et de se conformer aux règles et procédures en vigueur dans l’exécution des tâches, notamment une application stricte des dispositions du code de bonne conduite. Ledit code étant transmis à chaque salarié.Responsabilités•	Le magasinier s’occupe de la marchandise qui entre et sort du magasin et assure une gestion optimisée du magasin ;•	Il reçoit des camions et vérifie que les biens qui entrent correspondent à la documentation de transport qui les accompagne ;•	Il inspecte la marchandise afin de s’assurer qu’elle est intègre et établit des réserves au besoin ;•	Le magasinier signe les bordereaux et les dossiers administratifs correspondants ;•	Il veille à ce que toute la marchandise soit bien stockée dans le respect des règles et procédures applicables, coordonne les réceptions ainsi que les enlèvements ;•	Le magasinier doit là encore s’assurer que la marchandise soit conforme avec la documentation présentée ;•	Il signe les b/l de réception et de livraison ;•	Il effectue toute tâche connexe à la demande de la hiérarchie.Profil•	Bac + 2 ou validation des acquis en Transport Logistique ou équivalent ;•	Bonne maîtrise de Microsoft Office ;•	Bon usage des moyens de communication ;•	Organisé ;•	Leader naturel ;•	Capacité de prise d’initiative ;•	Orienté solution ;•	Capacité de piloter une équipe vers la réalisation d’un objectif commun ;•	Procédures Opérationnelles Standards ;",N/A,https://senjob.com/sn/jobseekers/magasinier_e_161348.html
Comptable Général,N/A,Dakar,"Comptabilité, Finances, Gestion | Banque, Assurance, Finances",2026-04-13,2026-04-28,"L’Agent Comptable Général est chargé d’exécuter les tâches liées à la section en fonction de la liste des opérations décrite par son manager.Il a également pour obligation de participer activement à la démarche Qualité, Hygiène, Sécurité et Environnement (QHSE) du Groupe, et de se conformer aux règles et procédures en vigueur dans l’exécution des tâches, notamment une application stricte des dispositions du code de bonne conduite. Ledit code étant transmis à chaque salarié.Responsabilités•	Analyses des comptes ;•	Rapprochements bancaires ;•	Déclarations fiscales mensuelles (TVA ; Retenues sur Salaire ; IRPP ; BNC ; IPRESS ; CSS)•	Facturations administratives ;•	Régularisations et apurements par opérations diverses ;•	Reporting groupe (Consolidation) ;•	Saisies opérations diverses ;•	Participation à la clôture mensuelle ;•	Effectuer toute tâche connexe à la demande de son supérieur hiérarchique.Profil•	Être de niveau Bac + 3 minimum (BTS, DUT, Diplôme de Comptabilité et de Gestion -DCG-, …) ou validation des acquis en comptabilité, fiscalité, finance ou tout diplôme équivalent en comptabilité ;•	Avoir la maitrise de l’outil informatique (bureautique, Echange de données informatiques,•	Ou validation des acquis en gestion ;•	Avoir la maîtrise d’une ou plusieurs langue(s) étrangère(s), en particulier l’anglais.•	Avoir une bonne connaissance de nos outils comptables et bureautiques•	Bonne communication avec les autres services ;•	Sens de l’organisation.",N/A,https://senjob.com/sn/jobseekers/comptable-général_e_161347.html
Conducteur d’Engins,N/A,Dakar,"Achat, Supply Chain, Logistique, Transport | Transport, Logistique, Services postaux",2026-04-13,2026-04-28,"Le Conducteur d’Engins est chargé de manipuler et de déplacer des charges, ou des marchandises à l’aide d’engins spécifiques tels que des chariots élévateurs, des transpalettes, des grues…Il a également pour obligation de participer activement à la démarche Qualité, Hygiène, Sécurité et Environnement (QHSE) du Groupe, et de se conformer aux règles et procédures en vigueur dans l’exécution des tâches, notamment une application stricte des dispositions du code de bonne conduite. Ledit code étant transmis à chaque salarié.Responsabilités•	Contrôler l’état de fonctionnement de l’engin ;•	Positionner l’engin en fonction des manœuvres ;•	Réaliser les opérations de levage et de déplacement des charges selon les indications des équipes au sol ;•	Sécuriser l’engin de manutention et les équipements ;•	Réaliser la maintenance de premier niveau des machines et équipements ;•	Il effectue toute tâche connexe à la demande de la hiérarchie.Profil•	Avoir un niveau d’étude secondaire ;•	Être titulaire d’un permis de conduire toutes catégories ;•	Avoir un Certificat d’acuité visuelle ;•	Connaissance de la réglementation du transport de personnes ;•	Maitrise des règles de sécurité des produits Chargé ;•	Connaissance de l’environnement géographique ;•	Eléments de base en mécanique automobile.",N/A,https://senjob.com/sn/jobseekers/conducteur-d’engins_e_161346.html
Chef de Service SOCOFROID,N/A,Dakar,"Achat, Supply Chain, Logistique, Transport | Transport, Logistique, Services postaux",2026-04-13,2026-04-28,"Le chef de Service SOCOFROID est chargé de définir et superviser la gestion administrative (procédures, fonctionnement, affaires juridiques, …) et financière (trésorerie, contrôle de gestion, …) du service, selon les choix stratégiques adoptés par les instances dirigeantes et les réglementations (financières, fiscales et commerciales.En outre, il supervise toutes les activités de gestion de la facturation, administre les imputations et saisies, et coordonne les relations avec l’administration dans le cadre de la gestion des contentieux.Il a également pour missions de participer activement à la démarche Qualité, Hygiène, Sécurité et Environnement (QHSE) du Groupe, et de se conformer aux règles et procédures en vigueur dans l’exécution des tâches.Responsabilités•	Définir et mettre en place les procédures de gestion administrative et financière et les indicateurs nécessaires au suivi d’activité et au reporting à la direction ;•	Elaborer le budget prévisionnel des services, le présenter au supérieur hiérarchique et effectuer les ajustements le cas échéant ;•	Suivre l’évolution des résultats financiers et établir son plan de financement ;•	Superviser, contrôler la gestion de la trésorerie et émettre des recommandations sur l’allocation des ressources financières ;•	Superviser et coordonner l’action des services ;•	Assurer la gestion des litiges ;•	Faire le suivi des comptes clients ;•	Effectuer toute tache connexe à la demande de son supérieur hiérarchique.Profil•	Bac + 4 ou validation des acquis en transport logistique gestion ou en sciences juridiques ou équivalent ;•	Bon usage des moyens de communication ;•	Organisé ;•	Leader naturel ;•	Esprit d’équipe ;•	Capacité de prise d’initiative ;•	Orienté solution ;•	Curiosité technique ;•	Capacité de piloter une équipe vers la réalisation d’un objectif commun ;•	Fonctionnalités et rapports des outils métier (Qlikview, SPOT, Way,) ;•	Rapports financiers : P&L détaillé par unité COM (mensuel) ;•	Procédures Opérationnelles Standards ;•	Outils et documentation RH.",N/A,https://senjob.com/sn/jobseekers/chef-de-service-socofroid_e_161345.html
Coordonnateur Levage,N/A,Dakar,"Achat, Supply Chain, Logistique, Transport | Transport, Logistique, Services postaux",2026-04-13,2026-04-28,"Le Coordonnateur Levage a pour mission de veiller au bon état des grues et à leur affectation. Il est également chargé de s’assurer de la compétence des grutiers et de la bonne réalisation des travaux sur les chantiers. Il rend compte à sa hiérarchie dans ce domaine.Il a également pour obligation de participer activement à la démarche Qualité, Hygiène, Sécurité et Environnement (QHSE) du Groupe, et de se conformer aux règles et procédures en vigueur dans l’exécution des tâches, notamment une application stricte des dispositions du code de bonne conduite. Ledit code étant transmis à chaque salarié.Responsabilités•	Formation sur les équipements de levage et manutention spécifiques (grues, chariots élévateurs, etc.) ;•	Sensibilisation aux normes de poids, d’équilibrage et de transport sécurisé ;•	Savoir faire des plans de levage, de chargement, de circulation ;•	Identification et mitigation des risques spécifiques aux colis lourds (rupture d’équipements, sécurité, délais) ;•	Formation à la résolution de problèmes et à la gestion des imprévus.•	Capacité à gérer des projets logistiques complexes et de garantir la satisfaction client ;•	Amélioration mesurable de la performance opérationnelle et de la sécurité ;•	Simulation schéma de levage•	Plan d’arrimage et d’élingage ;•	Savoir-faire un plan cinématique de l’opération.•	Recevoir les commandes de grues ;•	Procéder à la ventilation des missions en fonction des grues, du type de chantiers, de l’heure•	d’embauche et de la nature des colis ;•	Effectuer la reconnaissance du lieu d’opération (stabilité du terrain, encombrement) et au choix du matériel approprié ;•	Assurer le suivi des réparations d’engins, et du planning de révision ;•	Assurer la formation continue des grutiers ;•	Confronter le pointage des bons d’utilisation des grues aux états de sorties de matériels ;•	Veiller à la compétence des grutiers et au respect des contraintes de temps (quarante heures par semaine) ;•	Effectuer toute tache connexe à la demande de son supérieur hiérarchiqueProfil•	Être titulaire d’un Bac+5 ou validation des acquis en Logistique & Manutention, complété par une expérience du domaine ;•	Avoir de l’expérience dans la conduite des équipes ;•	Maitrise des règles de sécurité des biens et des personnes ;•	Avoir une bonne acuité visuelle",N/A,https://senjob.com/sn/jobseekers/coordonnateur-levage_e_161344.html
Responsable des Ressources Humaines,N/A,Dakar,"Ressources Humaines, Formation | Organisation non gouvernementale, Association",2026-04-13,2026-04-28,"Bienvenue chez CANAL+ ! Séries, films, documentaires, émissions, sports, …Ce qui nous tient à cœur c’est de créer les meilleurs contenus et une expérience immersive pour nos millions d’abonnés : émotions et sensations garanties ! Et si vous passiez derrière l’écran ? Vous trouverez forcément votre place parmi nos 17 000 passionnés dans le monde ! Pour être au courant de nos dernières actualités, n’hésitez pas à nous suivre sur LinkedIn et X !Les équipes International ? nos équipes internationales développent les activités du Groupe CANAL+ sur le continent africain depuis plus de 30 ans avec une présence dans plus de 20 pays permettant de passer la barre des 9 millions d’abonnésPlus précisément, vous rejoindrez notre Direction Ressources Humaines Afrique Francophone, composée d’une trentaine de personnes, en charge d’accompagner l’ensemble de nos équipes opérationnelles. Au sein de cette direction, vous évoluerez sur le poste de Responsable Ressources Humaines Sénégal en pilotant un assistant RH chargé de l’appui administratif et du suivi opérationnel des missions RH. Vous serez garant de la mise en place des orientations stratégiques RH du Groupe dans nos filiales au Sénégal.Votre rôle et vos missionsParticiper à la définition de la stratégie RH•	Recueillir auprès des différentes directions de l’entreprise leurs besoins et attentes en termes de problématiques RH•	Proposer et faire valider la nature et l’échéancier des projets RH auprès de sa hiérarchie et de la direction.•	Effectuer une veille économique, juridique et sociale (suivi des stratégies RH des entreprises du secteur).Conseil, accompagnement des opérationnels et des managers•	Conseiller et accompagner les managers sur les différentes problématiques RH (droit du travail, formation, recrutement, contrats de travail, intégration des nouveaux collaborateurs, entretiens d’évaluation, gestion de carrière/mobilité, rémunération, gestion des IRP, procédures disciplinaires ou de licenciement…).•	Définir et veiller à l’application par les opérationnels de l’ensemble des procédures RH.•	Mise en place et pilotage des projets et de la politique RHPiloter et suivre les projets RH dans le cadre de la stratégie définie•	 Participer à la préparation du budget RH (contrôle de la masse salariale, plan de développement des compétences…).•	Mettre en place les outils de suivi et de reporting RH (tableaux de bord).•	Piloter l’élaboration du bilan social (collecte des données, mise en place d’indicateurs, alimentation du bilan…), en assurer l’analyse et la diffusion.Animation et négociation avec les partenaires sociaux•	Entretenir et animer les relations avec les instances représentatives du personnel (DP, Inspection du travail etc.)•	Communiquer auprès des partenaires sociaux sur le déploiement des actions RH.•	Organiser les élections des instances représentatives du personnel.•	Veiller à la mise en place et assurer le suivi juridique des accords conclus.Administration du personnel et développement RH•	Superviser l’administration de la paie et la gestion du personnel (paie, gestion des départs, déclarations sociales…).•	 Élaborer les tableaux de bord sociaux permettant de suivre l’activité du personnel (absentéisme, rémunération, congés, formation, compte épargne-temps…).•	Organiser le recueil des besoins formation, définir les orientations, élaborer le plan de développement des compétences et superviser sa réalisation.•	Garantir l’application de la réglementation sociale et les obligations légales en matière de protection sociale et de santé (Code du travail, convention collective, accords collectifs, règlement intérieur).Et si on parlait de vous ?•	Vous êtes diplômé d’un Bac+4/5 en gestion des ressources humaines, droit social ou sciences sociales•	Vous avez minimum 5 ans d’expérience sur un poste de RH Généraliste. Vous avez déjà occupé des fonctions de Responsable Ressources Humaines ou similaire•	Vous êtes polyvalent et avez des connaissances sur l’ensemble des disciplines RH (développement RH, paie, droit social)•	Vous savez faire preuve d’autonomie et de discrétion•	Vous disposez d’un excellent relationnel•	Vous savez faire preuve de rigueur et de réactivité•	Vous disposez d’un excellent relationnel•	Vous savez faire preuve d’initiatives•	Vous avez déjà travaillé avec un logiciel de paie",N/A,https://senjob.com/sn/jobseekers/responsable-des-ressources-humaines_e_161343.html
Prestataire en communication digitale,N/A,Dakar,"Marketing, Communication | Communication, Marketing, Médias",2026-04-13,2026-05-10,"Vous souhaitez mettre vos compétences en communication digitale au service d’une cause à fort impact ?Rejoignez une ONG engagée dans la lutte contre les cancers en Afrique sub-saharienne.À propos de nousL’Alliance Mondiale Contre le Cancer (cancer-amcc.org) est une ONG française qui agit dans les pays à ressources limitées pour améliorer le diagnostic, les soins et la recherche contre le cancer.Votre missionEn tant que Community Manager freelance, vous serez au cœur de notre visibilité digitale :•	Définir une ligne éditoriale claire et engageante•	Concevoir et publier 2 à 4 contenus par mois (posts + visuels simples)•	Valoriser nos actions, partenariats et impacts sur le terrain•	Suivre les performances et proposer des améliorationsConditions•	100% remote (candidats basés en Afrique subsaharienne fortement encouragés)•	3 à 5 jours / mois (forfait mensuel)•	Durée : 6 mois renouvelables•	Démarrage : 1er juin 2026Profil recherché•	Minimum 2 ans d’expérience en community management•	Excellentes capacités rédactionnelles (français / anglais, portugais apprécié)•	Maîtrise d’outils de création visuelle (ex : Canva)•	Sensibilité aux enjeux de santé globale•	Bonne connaissance du contexte africain (un vrai plus)Pourquoi nous rejoindre ?•	Contribuer concrètement à la lutte contre les cancers, notamment des enfants•	Collaborer avec une équipe internationale engagée•	Mission flexible et à fort impact",N/A,https://senjob.com/sn/jobseekers/prestataire-en-communication-digitale_e_161342.html
"Principal Officer, Policy – GIABA",N/A,Dakar,"Direction générale, Management | Services et Prestations aux Entreprises",2026-04-13,2026-04-28,"The Economic Community of West African States (ECOWAS) is a 12-member regional group mandated to promote economic integration, social cohesion, and political stability across West Africa. As a premier Intergovernmental Organization (IGO), ECOWAS operates through a robust institutional framework, led by the Commission and the Community Parliament, to harmonize policies, foster a « borderless » region, and uphold democratic governance for over 400 million citizens.Job DescriptionUnder the supervision of the Director, Policy and Research, the incumbent shall manage all issues related to Anti-Money Laundering and Countering the Financing of Terrorism (AML/CFT) policies – development, coordination, analysis, review and consultations with stakeholders. He/she shall support the ongoing policy work of the Financial Action Task Force and ensure that all adopted policies and frameworks are always made available to GIABA member States for possible adoption. He/she will act as the custodian of all AML/CFT policies on behalf of GIABA.  In addition, he/she shall act as the chief monitoring officer of emerging money laundering and terrorist financing (ML/TF) risks in GIABA member States and the ECOWAS region, providing member States with briefs and updates on emerging ML/TF risks on a continuous basis.Responsibilities•	Establish and maintain a robust ML/TF risk monitoring system for GIABA.•	Engage member States to collect relevant data, as required, to maintain an effective ML/TF risk monitoring system.•	Carry out policy analysis and review.•	Establish and maintain a network of Country Data Officers for the continuous operation of the ML/TF risk monitoring database.•	Continuously obtain, review and process relevant information and reports to feed into the risk monitoring database.•	Prepare and disseminate ML/TF risk advise, bulletins and reports on a regular basis.•	Engage member States and their institutions, Self-regulatory bodies and organisations and other stakeholders to dialogue on Risks, trends, and methods of ML/TF.•	Organize capacity building activities to support member States in the conduct of national risk assessment.•	Establish and maintain a Policy dialogue forum with the private sector.•	Participate and provide policy advice and risk analysis support in the conduct of mutual evaluations.•	Coordinate the preparation and submission of Annual Activity reports by member States.•	On an annual basis, provide a summary of AML/CFT activity report for each year to the GIABA Plenary in collaboration with member States.•	Conduct strategic reviews on Mutual Evaluations from time to time to highlight policy implications.•	Actively participate in the development of GIABA’s strategy document.•	Contribute to the development of the Directorate’s annual work plan.•	Perform any other task assigned by the supervisor.Qualifications•	Master’s degree (or equivalent) in Economics, Public Policy, Political Science, Public Administration, or a similar field from a recognized University.•	10 years of progressively responsible experience in AML/CFT including 5 years of relevant international work experience and/or 5 years at a supervisory level.•	Knowledge of policies and mechanisms in the areas on AML/CFT within the ECOWAS system.•	Demonstrated knowledge and understanding of the relevant aspects of anti-money laundering (ML) and countering the financing of terrorism (CFT) and in the establishment of a risk monitoring system.•	Demonstrated knowledge and understanding of the coordination and conduct of national money laundering (ML) and terrorism financing (TF) risk assessment and development of an action plan to mitigate identified risks.•	Knowledge of terminological and reference research techniques with the ability to use all sources of reference and information and to conduct complex research in the area of ML/TF.Additional InformationGrade: P5Annual Salary : UA 57,772.51/ USD 91,153.46",N/A,"https://senjob.com/sn/jobseekers/principal-officer,-policy-–-giaba_e_161341.html"
