titre,entreprise,ville,contrat,date_publication,categorie,description,lien
Regional Program Manager,Diakonie Katastrophenhilfe,"Dakar, Sénégal",CDD,2026-04-08,N/A,"Role: Regional program managerSupervisor: Regional Director (RD)Department: Regional office, Program supportLocation: Dakar, SenegalDirect reports: 3 regional program positions (with potential evolution)Additions: This position requires travel in West and Central Africa and the CaribbeanAbout the roleThis is a new role resulting from the global reorganization of DKHs internal structure and will be part of the newly established region of West & Central Africa and the Caribbean. The position will partly take over responsibilities and tasks previously ensured directly from Berlin and will also fill identified gaps.The main aim of the role is to provide regional programmatic support to the country programs and local and national NGO partners (L/NNGOs) collaborating with DKH. The primary responsibility of the Regional program manager (RPM) is to ensure alignment of programs and projects within the region with the organization’s strategic goals and donor prerequisites. This role provides guidance and technical support to programs and partners, aiming to maximize quality and advocate for a principled approach to humanitarian aid across different country offices. Additionally, the role involves harmonizing program standards, optimizing program delivery, and fostering collaboration and learning processes among the programs.Specific roles and responsibilitiesDonor Guidance and Relationship ManagementActively identify new potential donors for the programs in both West & Central Africa and the CaribbeanStay informed on donor strategies, requirements, standards, deadlines, calls, etc.Identify/ define successful strategies and guidance for approaching and maintaining relationships with regional donors such as ECHO and OCHA in collaboration with Country Representatives, RD and Institutional Relations Advisor (IRA)Guide country programs and L/NNGOs on donor strategies, requirements, standards, events, etc., throughout the project cycle (project development, monitoring, reporting, evaluation)Support decision-making in grant applications towards third-party donorsRepresent DKH towards regional donors and within regional working groups, clusters, networks, etc., in coordination and collaboration with the RDStrategic Program GuidanceRemain abreast of strategic discussions related to Charter4Change, (triple) nexus, localization, etc., and lead alignment with programs at regional and country levelAlign project proposals and other country office initiatives with DKH global and regional strategies and prioritiesGuide on and ensure compliance with Sphere standards, CHS, and partnership principles (“eye-level partnerships”)Participate in development, revision, monitoring of regional and country strategies; provide contributions towards the DKH global strategyProgram Coordination and Synergy IdentificationOversee regional project portfolio and work with country offices towards alignment amongst programs and projects on strategic, thematic and technical issues in collaboration with TUEnsure coherence of context-adapted approaches amongst assessments (multi-needs, markets, gender, conflict, environmental, risk, etc.), concept notes, proposals, and reports, e.g. regarding targeting, inclusion, mainstreaming protection, locally owned and locally led approaches, inclusion, involvement of public structures and private sectors, anticipatory humanitarian action, greening of aid approaches/ climate sensitive approaches, etc.Identify and capitalize on synergies between programs and projects to maximize efficiency and ensure harmonization and learningDevelop regional projects together with country programs and supervise any regional coordination positions related to such programsManage the regional multi-purpose fund designated for small emergency support, assessments/ evaluations, etc.Monitoring, Evaluation, and Learning (MEAL) and Knowledge ManagementImplement MEAL policies and guidelines coherently in collaboration with global MEAL advisor and MEAL staff in country programsSupport data analysis and processes and ensure real-time lessons are captured, disseminated, and integrated into ongoing and future programming.Depending on partner and staff capacities, lead or support in this process and ensure a harmonized and consistent approach to strengthening MEAL capacities across the regionSupport internal and external forms of reflection and learning (evaluations, learning reviews, partner workshops, etc.)Ensure learning procedures exist, are known and understood, and monitor their application; contribute to development of such procedures where they do not existContribute to internal learning processes and documentation /publication of the same from program work in collaboration with responsible staffEncourage and foster inter-country learningEnsure diffusion of lessons learned and application of recommendations throughout the region and towards DKH BerlinEnsure rollout and contextualization of accountability guidelines and standards (feedback and complaints mechanisms) as well as procedures to deal with them effectively and efficientlySpearhead technological utilization throughout the project cycle, serving as the central focal point for its implementation, including capacity building to enhance uptake and usage within the regionBuild knowledge management system and champion a culture of learning amongst staff and partnersQuality Assurance and CollaborationEnsure maximum quality in the final review of grant applications and internal project proposals for the region; ensure administrative approval process of projects in the DKH project management softwareSupport country offices to ensure high levels of accountability, including backstopping and guidance on CRM, CHD etc.Collaborate with theTechnical Unit and advisors in Berlin and Regional liaison manager on respective topicsExchange and collaborate with equivalent positions in other regions for harmonization and learning purposesPartnership and capacity strengtheningContribute to review of joint partner self-assessments and definition/identification of delivered or required partner capacity-strengthening supportDevelop and deliver (or organize delivery of) workshops for L/NNGOs and DKH country program staff in relation to the responsibilities of the positionProvide mentoring and feedback to partners on any related task and/or link up L/NNGOs and DKH staff with relevant experienceOtherSupervise and coordinate regional program positions including regional project coordination staff, technical experts, partner strengthening staff, etc.Support the regional program objectives through any other tasks requested by the RDEducation & professional qualificationsBachelor or Master’s degree in Humanitarian Action, International Development and Cooperation, Disaster Management, International Relations, Conflict Studies or Peace and Conflict Resolution, Monitoring and Evaluation/ Data Analytics or any other related position relevant for the roleSkills & competenciesMinimum 5 years’ experience in senior program management in the humanitarian sectorExtensive experience in proposal writing, developing log frames, etc.Ability to initiate and implement activities with minimal oversight and supervisionKnowledge and experience with AA, BMZ, ECHO, UN, etc.Experience working in consortia and on large-scale regional projects and with the (triple) nexusPrevious exposure to various humanitarian programming sectors (food security and nutrition, protection and PSS, DRR) and various modalities (e.g. CVA)Experience/ competence in the use of technology across the project cycle (e.g. Kobo, RedRose, etc.)Commitment to equal partnership principles and experience or strong interest in working with L/NNGOsAbility to work within a team and independently; willingness to contribute to the construction of a new teamStrong planning, organizational, and analytical skillsKnowledge of digital tools (e.g. Kobo, RedRose, etc.); proficiency in MS Office (Word, PowerPoint, Excel, etc.)Excellent communication & Interpersonal skills – ability to convey complex information clearly and comprehensibly to different target audiencesCultural sensitivityFrench and English requiredJob applicationKindly apply by sending your motivation letter and CV without any further attachments by emailrecrutement.wacar@diakonie-katastrophenhilfe.de, using the reference “RPM-WaCAR Name_Surname”, in the subject of your email. For additional questions about the role, please direct them to the same address.Closing date: 24 April 2026. Only shortlisted candidates will be contacted.Diversity is important to us. We welcome applications from people regardless of their ethnic, national, or social background, gender, disability, age, or sexual identityIn line with our strong commitment to localisation and equity, this position is open to both national and international candidates. All staff are offered the same salary range under a local contract, with differentiated benefits applied as needed to equitably address circumstances that may affect international hires.",https://www.emploidakar.com/offre-demploi/diakonie-katastrophenhilfe-dakar-senegal-cdd-regional-program-manager/
Crédit Manager,CFAO,"Dakar, Sénégal",CDI,2026-04-08,N/A,"Avec un marché du médicament qui représente plus de 20 milliards de dollars, l’accès à des produits abordables et de qualité reste un défi majeur pour l’Afrique.CFAO Healthcare renforce l’offre de santé sur le Continent en produisant et distribuant des produits et services pharmaceutiques et médicaux.Nous sommes à la recherche d’un(e)   Crédit Manager H/F   basé(e) :   SénégalDescription du poste :IL /elle aura pour mission principale d’assurer la maîtrise du risque client, d’optimiser le délai de paiement (DSO), de garantir la fiabilité des encours et de piloter le recouvrement.Profil recherché :Être titulaire d’un Bac +5 en Finance et Comptabilité ou présenter une expérience à un poste similaire ;Être à l’aise avec les outils du Pack Office, les logiciels de gestion financières et de reporting ;Avoir d’excellentes capacités de communication et de négociation ;Avoir le sens de l’organisation et des détails ;Avoir un esprit d’analyse, de synthèse et d’équipe ;Avoir une bonne connaissance des réglementations financières et légales ;Être orienté résultat/Résolution de problèmes ;Être rigoureux, méticuleux et professionnel ;Être multitâche et savoir gérer la pression ;Être titulaire du Permis B.",https://www.emploidakar.com/offre-demploi/cfao-dakar-senegal-cdi-credit-manager/
Superviseur de Caisse,AMD Corporate,"Dakar, Sénégal",CDD,2026-04-08,N/A,"Mission : Assurer la supervision opérationnelle, administrative et commerciale des kiosques situés dans le parking, afin de garantir une expérience client fluide, la conformité des opérations et la bonne performance des vendeurs ou agents de kiosque.Niveau d’étude : Minimum Bac+2 (BTS / DUT en Comptabilité ou Gestion ou Finance ou Administration des entreprises)Compétences techniques :Connaissance des opérations de parking (flux camions, billetterie, contrôle d’accès, caisse).Maîtrise des outils de gestion de kiosques (reporting et suivi des ventes).Capacité à gérer des plannings et organiser les équipes.Bonne base comptable.Maitrise de l’outil informatique (Excel, Word).Compétences managériales :Capacité à superviser plusieurs agents.Sens de l’organisation et gestion des priorités.Pouvoir former, évaluer et accompagner les agents des kiosques.Intégrité et sens élevé de la responsabilité, notamment sur la gestion des caisses.Flexibilité face à des horaires variables (week-end, soirées et jours fériés).Responsabilités :Superviser le fonctionnement quotidien des kiosques (encaissements, ventes, services).Vérifier le respect des procédures, des horaires et de la qualité de service.Assurer la gestion de caisse (contrôle, rapprochements, sécurité des fonds).Collecte et sécurisation des fonds en fin de shift.Confrontation entre les soldes physique (caisse) et théorique (application GFC).Rédiger les rapports hebdomadaires à la hiérarchie.Si votre profil correspond aux critères de ce poste, nous vous invitons à postuler au plus vite surcv@amdcorporate.neten mentionnant le titre du poste en objet de votre mail.",https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-cdi-superviseur-de-caisse/
Chef de Garage,IKLO Consulting,"Sicap Liberté 1, villa 1201",CDI,2026-04-08,N/A,"MissionsSuperviser et coordonner les activités quotidiennes du garage.Encadrer, motiver et former une équipe pluridisciplinaire.Planifier et organiser les interventions de maintenance préventive et corrective.Assurer le suivi des réparations et contrôler la qualité des travaux.Gérer les stocks de pièces détachées et optimiser les coûts.Veiller au respect des normes de sécurité et des délais.Maintenir une relation de confiance avec les clients et fournisseurs.Profil recherchéDiplôme en mécanique automobile ou équivalent.Expérience confirmée (minimum 7 ans) dans la gestion d’un garage poids lourds.Compétences aigues en management et leadership.Bonne connaissance des systèmes mécaniques, électriques et hydrauliques des camions.Sens de l’organisation, rigueur et esprit d’équipe.Capacité à résoudre rapidement les problèmes techniques.Veuillez envoyer votre CV à l’adresserushbibbe@gmail.com",https://www.emploidakar.com/offre-demploi/iklo-consulting-sicap-liberte-1-villa-1201-cdi-chef-de-garage/
Formations et certifications en ligne Coursera – Partenaire d’Emploi Dakar,Coursera,Sénégal,CDI,2026-04-07,N/A,"Vous voulez améliorer vos compétences, obtenir un certificat reconnu et décrocher plus d’opportunités professionnelles ? Avec Coursera, formez-vous en ligne auprès des meilleures universités et entreprises du monde : Google, IBM, Meta, HEC Paris, Université de Stanford, Université de Pennsylvanie, etc.Pourquoi choisir Coursera pour votre formation professionnelle ?Emploi Dakar s’associe à Coursera, la plateforme mondiale de formation en ligne, pour vous offrir un accès privilégié à plus de12 000 formations et de certifications reconnues à l’international.Avec Coursera, vous bénéficiez :de certifications reconnues mondialement qui vous permettent de valoriser vos compétences auprès des recruteurs au Sénégal et à l’étranger.d’une flexibilité totale : formez-vous où que vous soyez, à votre rythme, sur ordinateur ou mobile.des compétences directement applicables telles que l’intelligence artificielle, la data science, le marketing digital, la gestion de projet, les langues, la cybersécurité, etc.d’une ouverture internationale : accédez à des standards et méthodes utilisés partout dans le monde.Des opportunités concrètes pour votre carrièreUn certificat Coursera sur votreCVn’est pas seulement un document, c’est une preuve tangible de vos compétences et de votre engagement à apprendre.Pour les étudiants : démarquez-vous sur le marché de l’emploi avec des compétences recherchées par les entreprises.Pour les professionnels : donnez un nouvel élan à votre carrière ou orientez-vous vers un secteur porteur.Pour les entrepreneurs : renforcez vos connaissances en gestion, marketing et technologies pour développer votre activité.La plupart des apprenants ayant suivi une formation sur Coursera ont obtenu une promotion, changé de métier ou lancé leur propre entreprise grâce aux compétences acquises.Comment se lancer ?Pour vous lancer, il vous suffit de choisir la formation qui vous intéresse parmi les milliers de cours disponibles sur Coursera, puis de suivre les modules à votre rythme, en réalisant des exercices pratiques et des projets concrets. Une fois votre parcours terminé, vous obtiendrez un certificat que vous pourrez fièrement ajouter à votre CV et à votre profil LinkedIn. Il ne vous restera plus qu’à postuler à de nouvelles opportunités en mettant en avant vos compétences fraîchement acquises.Cliquez ici pour découvrir les formations disponibles et vous inscrire",https://www.emploidakar.com/offre-demploi/formations-et-certifications-en-ligne-coursera-partenaire-demploi-dakar/
Ingénieur Développement Produits agroalimentaire (Snack Food et Céréales),Topwork,"Dakar, Sénégal",CDI,2026-04-07,N/A,"Dans le cadre du développement de nos activités agroalimentaires, nous recrutons un(e) Responsable Développement Produits spécialisé(e) dans le snack food et les produits céréaliers.Vous aurez la charge du développement de nouveaux produits, de l’optimisation des recettes existantes et de l’amélioration des procédés industriels, aussi bien sur les gammes actuelles que sur les futurs axes de croissance.Les familles de produits concernées incluent notamment :Produits extrudés sucrés ou salés (séchés ou frits)Chips de pomme de terre (business actuels)Céréales petit-déjeunerBarres céréalièresBiscuits et produits dérivés (process futurs)Missions principales1. Développement produitsConcevoir et piloter le développement de nouveaux produits depuis l’idée jusqu’à l’industrialisationFormuler recettes (matières premières, additifs, profils sensoriels)Réaliser essais pilotes et industriels (extrusion, friture, séchage, cuisson…)Participer à la définition des cahiers des charges produits2. Optimisation des produits existantsAméliorer les recettes (coûts, qualité, stabilité, goût, texture)Optimiser les procédés de fabrication (rendement, pertes, cadence, régularité)Proposer des solutions techniques pour résoudre les problématiques qualité ou process3. Support industriel & innovationTravailler en étroite collaboration avec la production, la qualité et les achatsIdentifier de nouvelles matières premières ou technologiesParticiper à la veille technologique et marchéAccompagner les mises en production et montées en cadenceProfil recherchéFormation & expérienceIngénieur agroalimentaire / technologue alimentaire ou équivalentExpérience confirmée (minimum 5 ans souhaités) en développement produits snack / céréales / biscuitsMaîtrise des procédés : extrusion, friture, séchage, cuisson (fortement appréciée)Compétences techniquesTrès bonne connaissance des formulations céréalièresSolide compréhension des paramètres process industrielsCapacité à passer du laboratoire à l’échelle industrielleSensibilité forte à la qualité produit et au résultat terrainLanguesFrançais courant impératifAnglais bon niveau professionnelVeuillez envoyer votre CV à l’adressecv@topwork.sn",https://www.emploidakar.com/offre-demploi/topwork-dakar-senegal-cdi-ingenieur-developpement-produits-agroalimentaire-snack-food-et-cereales/
Commerciale Terrain,JAAY LEER,"Dakar, Sénégal",CDI,2026-04-07,N/A,"Offre d’emploi : Commercial(e) TerrainDans le cadre du développement de nos activités, nous recherchons un(e) Commercial(e) Terrain dynamique et motivé(e) pour rejoindre notre équipe.Missions principales :Prospecter et développer un portefeuille de nouveaux clients sur le terrainPrésenter et promouvoir les produits/services de l’entrepriseIdentifier les besoins des clients et proposer des solutions adaptéesAssurer le suivi des clients et fidéliser la clientèleAtteindre les objectifs commerciaux fixés par l’entrepriseEffectuer un reporting régulier des activités commercialesProfil recherché :Excellentes compétences en communication et en négociationDynamique, autonome et orienté(e) résultatsGoût prononcé pour le travail de terrain et le contact clientUne expérience en vente ou en prospection commerciale est un atoutNous offrons :Des opportunités de développement professionnelUne rémunération attractive basée sur la performanceVeuillez envoyer votre CV à l’adressetraoredieynaba74@gmail.com",https://www.emploidakar.com/offre-demploi/jaay-leer-dakar-cdi-commerciale-terrain/
Enquêteurs,Sen Interim,"Dakar, Sénégal",CDD,2026-04-07,N/A,"Nous recrutons des enquêteurs avec une expérience minimum de 2 ans.Missions principalesPréparation : Se familiariser avec le questionnaire, le matériel et la zone d’enquête.Collecte de données : Aborder les personnes cibles, présenter l’étude et mener les entretiens.Saisie et reporting : renseigner les questionnaires en temps réel et transmettre les données.Contrôle qualité : Vérifier la cohérence des réponses et signaler les anomalies.Respect des consignes : Suivre le protocole méthodologique et les délais imposés.Envoyez votreCVà l’adresse suivante :rerutement@seninterim.sn",https://www.emploidakar.com/offre-demploi/sen-interim-dakar-senegal-cdd-prestation-de-services-enqueteurs/
Ingénieurs Statisticiens,Sen Interim,"Dakar, Sénégal",CDD,2026-04-07,N/A,"Nous recrutons des ingénieurs statisticiens avec une expérience minimum de 2 ans.Missions principalesConception et Collecte : Élaborer des dispositifs d’enquêtes, des questionnaires et des protocoles de collecte de données.Traitement et Analyse : Nettoyer, structurer et analyser des données via des techniques statistiques descriptives et inférentielles.Modélisation et prévision : Développer des modèles mathématiques pour prédire des tendances.Visualisation et Reporting : Créer des tableaux de bord et rédiger des rapports détaillés pour la prise de décision.Veille Méthodologique : Assurer la veille sur les nouvelles techniques statistiques et logicielsEnvoyez votreCVà l’adresse suivante :rerutement@seninterim.sn",https://www.emploidakar.com/offre-demploi/sen-interim-dakar-senegal-cdd-cdi-ingenieurs-statisticiens/
Chauffeur Bilingue,GBG,"Dakar, Sénégal",CDD,2026-04-07,N/A,Nous recrutons un Chauffeur Bilingue – DakarProfil :CFEE1 à 2 ans d’expérienceBonne maîtrise du français (la pratique de l’anglais est un atout)Expérience dans le secteur de la gestion appréciéeEnvoyez votre CV à :recrutement@globalbusiness-gbg.com(Objet : Chauffeur Bilingue),https://www.emploidakar.com/offre-demploi/gbg-dakar-senegal-cdd-chauffeur-bilingue/
Graphique Designer Senior,GPF,"Dakar, Sénégal",CDI,2026-04-07,N/A,"Nous recrutons un(e) Graphique Designer Senior pour un de nos Clients évoluant dans la communication stratégique, les relations publiques et l’événementiel.Missions du Poste:Le/La Designer Senior est responsable de la traduction visuelle des stratégies de communication de l’agence.Il/elle conçoit des supports à forte exigence esthétique et éditoriale, destinés à des acteurs institutionnels et corporate, tout en contribuant à la scénarisation visuelle des événements.Ce rôle dépasse la simple exécution graphique : il s’agit d’un profil capable de structurer une identité visuelle cohérente, exigeante et adaptée à des environnements institutionnels.Responsabilités principales:1. Conception de supports de communication stratégiquesDesigner des supports institutionnels et corporate :brochuresone pagersop-edsprésentations (PowerPoint / Keynote)rapports et documents éditoriauxConcevoir des newsletters professionnelles (mise en page, hiérarchisation de l’information)Garantir la lisibilité, la clarté et l’élégance des supports2. Production de contenus digitauxCréer des visuels pour les réseaux sociaux (LinkedIn, Instagram)Concevoir des carrousels, templates et formats engageantsAdapter les contenus aux codes des différentes plateformes tout en respectant l’ADN des marques3.Direction artistique et cohérence visuelleDéfinir et décliner des univers graphiques cohérentsAssurer la qualité visuelle de l’ensemble des productions de l’agenceTravailler en étroite collaboration avec les équipes communication pour aligner fond et forme4. Contribution aux projets événementielsConcevoir des éléments visuels liés aux événements :signalétiquesupports scénographiquesbranding des espacesProduire des modélisations 3D pour illustrer les setups (stands, scènes, expériences)Participer à la projection visuelle des concepts événementiels5. Motion design (niveau intermédiaire à avancé)Produire des animations simples à intermédiaires :vidéos courtescontenus social mediasupports de présentation animésApporter une dimension dynamique aux contenus6. Encadrement du Chargé de création & contenuSuperviser et orienter le travail du profil juniorStructurer les méthodes de production graphiqueGarantir la montée en compétence de cette ressourceProfil:Expérience : 4 à 7 ans minimum en design graphique / direction artistiqueExpérience avec des clients institutionnels ou corporate exigeants (organisations internationales, cabinets, grandes entreprises)Portfolio démontrant une capacité à produire des visuels sobres, structurés et élégantsMaîtrise de la suite Adobe (InDesign, Illustrator, Photoshop)Bonne maîtrise de PowerPoint / Keynote (indispensable)Notions solides en motion design (After Effects ou équivalent)Capacité à produire des modélisations 3D simples à intermédiaires (SketchUp, Blender ou équivalent)Sens de la typographie, de la mise en page et de la hiérarchisation de l’information",https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-graphique-designer-senior/
Responsable des Operations,GPF,"Dakar, Sénégal",CDI,2026-04-07,N/A,"Nous recrutons un(e) Responsable des Opérations pour un de nos clients évoluant dans la communication stratégique, les relations publiques et l’événementiel.Le Responsable des Opérations est le bras armé de la stratégie.Il/elle traduit les orientations définies par la Direction Générale et le Responsable Stratégie & Développement en exécution opérationnelle performante, en assurant la coordination des équipes, la qualité des livrables et la rentabilité des projets.Mission:Garantir une exécution irréprochable des projets de l’agence, en structurant les opérations, en pilotant les équipes et en assurant la performance globale (qualité, délais, rentabilité).Le poste nécessite une capacité à opérer dans un environnement exigeant, avec une forte autonomie et un haut niveau de responsabilité.Responsabilités Principales:1. Exécution des stratégies définiesTraduire les orientations du Responsable Stratégie & Développement en plans opérationnelsS’assurer de la bonne compréhension des enjeux stratégiques par les équipesVeiller à la cohérence entre stratégie, production et livrables2. Pilotage des projets et du portefeuille clientSuperviser l’ensemble des projets (communication, RP, digital, événementiel)Garantir le respect des délais, budgets et standards de qualitéAssurer une vision globale des comptes et anticiper les risquesArbitrer les priorités opérationnelles3. Management des équipes opérationnellesEncadrement direct de :Senior Project ManagerChefs de projet (communication & événementiel)Chargés de projetCréation & contenusResponsabilités :Répartition des ressourcesSuivi de la performance individuelle et collectiveMontée en compétences des équipesMise en place d’une culture d’exigence et de responsabilité4. Structuration et optimisation des processMettre en place des process clairs et efficaces (gestion de projet, validation, production)Standardiser les méthodes de travailAméliorer la productivité et la fluidité interneImplémenter des outils de suivi (planning, reporting, gestion documentaire)5. Pilotage de la rentabilitéSuivre les budgets et marges par projet et par clientIdentifier les leviers d’optimisation des coûtsAlerter en cas de dériveContribuer à une logique de croissance rentable6. Reporting et coordination hiérarchiqueAssurer un reporting régulier au Responsable Stratégie & DéveloppementRemonter les points de vigilance opérationnelsProposer des ajustements organisationnelsContribuer à la prise de décision7. Supervision des projets sensiblesIntervenir sur les comptes stratégiques ou à forte visibilitéSécuriser les livrables à enjeu réputationnelApporter un regard senior sur l’exécutionProfil :7 à 10 ans d’expérience minimum, dont une expérience significative en agenceExpérience en pilotage d’équipes et gestion multi-projetsExcellente compréhension des métiers de la communication 360°Capacité à évoluer dans un environnement structuré mais en croissanceCompétences clésLeadership opérationnelRigueur et sens de l’organisationCapacité à prioriser et arbitrerCulture de la performance et du résultatMaîtrise des enjeux budgétairesExcellente communication interneExécuter parfaitement une vision stratégique définie par d’autresStructurer une organisation et la rendre performanteGérer la pression et les enjeux clients avec sang-froidÊtre un pilier fiable et constant dans l’organisation",https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-responsable-des-operations/
Chef de Projet Communication,GPF,"Dakar, Sénégal",CDI,2026-04-07,N/A,"Nous recrutons un(e) Chef de Projet Communication pour un de nos Clients évoluant dans la communication stratégique, les relations publiques et l’événementiel.Mission:Le/La Chef de Projet Communication est responsable de la mise en oeuvre opérationnelle des stratégies de communication pour les clients de l’agence.Il/elle assure la gestion quotidienne des comptes, la coordination des productions et la qualité des livrables, en garantissant la cohérence entre les recommandations stratégiques et leur exécution.Ce rôle requiert un profil capable de conjuguer rigueur opérationnelle, sens éditorial et compréhension des enjeux de communication d’influence.Responsabilités principales:1. Gestion et suivi des comptes clientsAssurer le suivi opérationnel des projets de communication (planning, livrables, coordination)Être l’interlocuteur quotidien des clients sur les sujets opérationnelsGarantir le respect des délais et des engagementsAnticiper les besoins et proposer des ajustements2. Mise en oeuvre des stratégies de communicationDéployer les plans de communication définis en amontTraduire les orientations stratégiques en actions concrètesVeiller à la cohérence des messages sur l’ensemble des supports3. Production éditoriale et contenusÉlaborer des calendriers éditoriaux (LinkedIn, Instagram, web, newsletters)Rédiger ou superviser la production de contenus :posts réseaux sociauxarticlesnewsletterssupports institutionnelsAdapter les messages selon les cibles (institutionnelles, corporate, grand public)4. Coordination de la productionTravailler en lien avec les équipes internes :graphisteschargés de contenuchefs de projet événementielSuperviser les prestataires externes si nécessaireS’assurer de la qualité et de la cohérence des livrables5. Relations publiques (niveau opérationnel)Participer à la mise en oeuvre des actions RPRédiger des communiqués et supports presseAssurer le suivi des retombées médiasContribuer à l’organisation de prises de parole (interviews, événements)6. Suivi de performance et reportingSuivre les indicateurs de performance (engagement, visibilité, retombées)Produire des reportings réguliersIdentifier des axes d’améliorationProfil:Expérience : 3 à 5 ans minimumFormation en communication, marketing ou journalismeTrès bonnes capacités rédactionnelles en français (anglais professionnel requis)Expérience en gestion de projets et production de contenusExécuter avec précision et fiabilitéComprendre les enjeux derrière chaque action de communicationProduire des contenus intelligents, pas uniquement esthétiquesS’intégrer dans une organisation structurée avec des standards élevés",https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-chef-de-projet-communication/
Traducteurs professionnels,MGtradAgence de traduction à Casablanca,Sénégal (Télétravail),CDI,2026-04-07,N/A,"MGtrad est une agence de traduction leader à Casablanca, offrant une large gamme de services linguistiques professionnels, adaptés aux besoins des entreprises et des particuliers.Pour plus d’informations, n’hésitez pas à consulter notre site web : https://www.mgtrad.com/Nous sommes actuellement à la recherche de traducteurs professionnels dans les langues suivantes : anglais, français, espagnol et italien. Les candidats doivent posséder une excellente maîtrise de leur(s) langue(s) de travail, une expérience confirmée en traduction, ainsi qu’un sens aigu de la précision et du détail.Si vous êtes intéressé(e), merci de nous envoyer votre CV détaillé accompagné d’une présentation de vos expériences et compétences en traduction à l’adressecontact@mgtrad.comNous serions ravis de collaborer avec des professionnels qualifiés et motivés.",https://www.emploidakar.com/offre-demploi/mgtrad-4ieme-etage-56-av-lalla-yacout-casablanca-20100-cdi-recherche-traducteurs-professionnels/
Nounou et Chef Cuisinière Expérimentées,Guest House,"Rufisque, Dakar",CDD,2026-04-06,N/A,"Une structure privée est à la recherche de deux profils expérimentés pour renforcer son organisation : une nounou pour la garde d’enfants et une chef cuisinière capable de préparer des plats variés avec un haut niveau de qualité.Poste 1 : Nounou ExpérimentéeVos missions principalesAssurer la garde et la surveillance des enfants.Veiller à leur sécurité et à leur bien-être au quotidien.Participer à leur éveil à travers des activités adaptées.Préparer les repas des enfants si nécessaire.Maintenir un environnement propre et organisé.Profil recherchéFemme âgée de 30 ans minimum.Expérience confirmée dans la garde d’enfants.Patiente, sérieuse et responsable.Sens de l’organisation et discrétion.Poste 2 : Chef Cuisinière Très ExpérimentéeVos missions principalesPréparer des plats variés avec une excellente qualité.Élaborer des menus équilibrés et adaptés.Assurer l’organisation et la gestion efficace de la cuisine.Respecter strictement les normes d’hygiène.Maintenir un espace de travail propre et structuré.Profil recherchéFemme très expérimentée en cuisine.Maîtrise de différents types de plats.Organisation, rapidité et professionnalisme.Sens élevé de la propreté et de la qualité.Nous offronsUn cadre de travail stable et respectueux.De bonnes conditions de travail.Pour postulerMerci d’envoyer votre CV àcisse96daouda@gmail.com",https://www.emploidakar.com/offre-demploi/guest-house-rufisque-cdd-nounou-et-chef-cuisiniere-experimentees/
Chauffeurs Taxi Particuliers,Urban Cars,"Parcelles Assainies, Dakar",Prestation de Services,2026-04-06,N/A,"Dans le cadre du développement de nos activités, nous recrutons des chauffeurs professionnels.Profil recherché :Titulaire d’un permis de conduire valideSérieux, ponctuel et motivéExpérience dans le transport (un plus)Documents à fournir :Copie légalisée de la CNICopie légalisée du permis de conduireCertificat de résidenceConditions :Horaires flexibles (24h/24)Véhicule mis à dispositionRémunération attractiveContact : +221 78 827 62 18 / +221 77 208 41 19",https://www.emploidakar.com/offre-demploi/urban-cars-dakar-parcelles-assainies-prestation-de-services-recrutement-chauffeurs-taxi-particuliers/
Femme de Ménage Qualifiée,Sérénité Pro Service,"Dakar, Sénégal",Prestation de Services,2026-04-06,N/A,"Nous recrutons des femmes de ménage qualifiée pour intervenir sur des logements de type Airbnb, appartements et villas à Dakar et particuliers.Vos missionsNettoyage complet des logements (sols, sanitaires, cuisine, surfaces)Remise en état entre deux locationsMise en place soignée (lit, serviettes, finitions)Respect des consignes et du protocole de nettoyage SPSTravail en équipe sous supervisionProfil recherchéExpérience obligatoire dans le ménage (hôtel, location ou particuliers)Sérieuse, ponctuelle et organiséeSens du détail et du travail bien faitBonne présentationCapacité à travailler rapidement et efficacementLe professionnalisme et la fiabilité sont essentielsVeuillez envoyer votre CV à l’adressesps@sereniteproservice.com",https://www.emploidakar.com/offre-demploi/serenite-pro-service-dakar-prestation-de-services-femme-de-menage-qualifiee/
